StatZone,בעל המשימה
632,בטחון
621,בטחון
634,בטחון
634,בטחון
634,בטחון
634,בטחון
621,בטחון
634,בטחון
642,בטחון
613,בטחון
613,בטחון
622,רווחה הדר/עיר תחתית
633,בטחון
634,בטחון
641,בטחון
634,בטחון
622,בטחון
621,בטחון
611,בטחון
613,בטחון
634,בטחון
631,בטחון
621,בטחון
642,בטחון
634,בטחון
641,בטחון
632,בטחון
633,בטחון
633,בטחון
613,בטחון
642,בטחון
633,בטחון
634,בטחון
642,בטחון
641,בטחון
622,בטחון
613,בטחון
634,בטחון
632,בטחון
632,בטחון
642,בטחון
631,בטחון
631,בטחון
621,בטחון
631,בטחון
641,בטחון
641,בטחון
634,בטחון
621,בטחון
613,בטחון
641,בטחון
621,בטחון
613,בטחון
612,בטחון
621,בטחון
633,בטחון
621,בטחון
641,בטחון
634,בטחון
642,בטחון
634,בטחון
641,בטחון
632,בטחון
633,בטחון
633,בטחון
633,בטחון
642,בטחון
613,בטחון
641,בטחון
631,בטחון
631,בטחון
622,בטחון
631,בטחון
631,בטחון
631,בטחון
621,בטחון
632,בטחון
613,בטחון
634,בטחון
611,בטחון
641,בטחון
623,בטחון
631,בטחון
634,בטחון
631,בטחון
613,בטחון
633,בטחון
623,בטחון
623,בטחון
632,בטחון
613,בטחון
633,בטחון
623,בטחון
641,בטחון
621,בטחון
623,בטחון
634,בטחון
623,בטחון
633,בטחון
611,רווחה הדר/עיר תחתית
631,בטחון
622,בטחון
633,רווחה הדר/עיר תחתית
622,בטחון
634,בטחון
613,בטחון
642,בטחון
641,בטחון
631,בטחון
634,בטחון
643,בטחון
631,בטחון
623,בטחון
622,בטחון
632,בטחון
641,רווחה הדר/עיר תחתית
641,בטחון
631,בטחון
631,בטחון
631,בטחון
644,בטחון
634,בטחון
641,בטחון
612,בטחון
632,בטחון
634,בטחון
634,בטחון
622,בטחון
622,בטחון
634,בטחון
634,בטחון
622,בטחון
621,בטחון
642,בטחון
613,בטחון
631,בטחון
631,בטחון
641,בטחון
634,בטחון
641,בטחון
621,בטחון
632,בטחון
621,בטחון
633,בטחון
632,בטחון
642,בטחון
633,בטחון
621,בטחון
641,בטחון
632,בטחון
634,בטחון
632,בטחון
623,בטחון
644,בטחון
644,בטחון
622,בטחון
622,בטחון
622,בטחון
634,בטחון
623,בטחון
623,בטחון
632,בטחון
631,בטחון
612,בטחון
634,בטחון
634,בטחון
642,בטחון
623,בטחון
623,בטחון
632,בטחון
632,בטחון
632,בטחון
641,בטחון
631,בטחון
631,בטחון
632,בטחון
622,בטחון
632,בטחון
632,בטחון
632,בטחון
611,בטחון
622,בטחון
612,בטחון
631,בטחון
612,בטחון
634,בטחון
642,בטחון
632,בטחון
622,בטחון
631,בטחון
623,בטחון
634,בטחון
612,בטחון
634,בטחון
634,בטחון
632,בטחון
632,בטחון
611,בטחון
613,בטחון
634,בטחון
631,בטחון
611,בטחון
641,בטחון
641,בטחון
632,בטחון
644,בטחון
622,בטחון
634,בטחון
632,בטחון
611,בטחון
633,בטחון
622,בטחון
631,בטחון
622,בטחון
632,בטחון
612,בטחון
632,בטחון
634,בטחון
631,בטחון
612,בטחון
612,בטחון
611,בטחון
621,בטחון
633,בטחון
633,בטחון
623,בטחון
641,בטחון
623,בטחון
613,בטחון
613,בטחון
631,בטחון
634,בטחון
621,בטחון
642,בטחון
632,בטחון
641,בטחון
634,בטחון
