,StatZone,Street,HouseNum,Year,Month,Day,AbandBldDesc,AbandBldType,AbandBldUsage
0,633,אבן סינא,7,2020.0,11.0,28.0,,בניין שלם,משרדים
1,632,בן יהודה,10,,,,,,
2,632,בן יהודה,20,,,,"בן יהודה 20 (פינת מדרגות צפת), הדר.

בית פרטי בן קומה אחת ושני חדרים.

שטח: 60 מ""ר
שטח המגרש: 650 מ""ר
שנת בניה: 1939
בעלים מקורים :יצחק זוממר
אדריכל: דברן",,
3,633,החלוץ,10,2020.0,11.0,28.0,,קומה,מגורים
4,633,החלוץ,24,2020.0,10.0,12.0,,בניין שלם,מגורים
6,633,הנביאים,13,2020.0,10.0,12.0,empty appartment,דירה,מגורים
7,632,הנביאים,32,2020.0,11.0,28.0,"הנביאים 32 פינת הרצליה.
שנת בניה: 1950
אדריכל: ד. ישראלי",,
9,633,הרצל,15,2020.0,11.0,28.0,"הבניין נבנה בשנת 1941 ע""י יוסף דיין.

היום ישנם מכולת ומספר עסקים נוספים בקומת הקרקע ויתר הקומות נטושות.
",חלק ממנה,מעורב
10,632,הרצליה,35,2020.0,10.0,12.0,,בניין שלם,מעורב
11,641,השומר,12,2020.0,10.0,12.0,"שנת בניה: 1937.
בעלים מקוריים: אברהם אזערי וחיים לבובסקי.
אדריכל: דוד פריצקר.

על פי תכנית הבניין, הוא כלל גרג' ומכבסה בקומת הכניסה.",בניין שלם,מגורים
13,633,חסן שוקרי,1,,,,,,
14,633,חסן שוקרי,10,,,,מלון וייס לשעבר שייך למשרד עורכי דין עטיה לוי,,
16,632,יונה,11,,,,"ידוע הרבה על המבנה פרט לבעלים המקורים - פרידי נז'אב.
ב-2002 הוא הוכרז כמבנה מסוכן",,
18,633,מעלה השחרור,6,,,,,,
19,631,נורדאו,34,,,,,,
20,634,סירקין,13,,,,לפני קום המדינה בקומת קרקע שם גרה אישה בשם זהייה קוסטיקה (זהבה) שעלתה מסוריה לארץ. היא היתה התופרת של כול ואדי סאליב ומוכרת בכול האיזור. הם עז,,
21,634,סירקין,19,2020.0,11.0,14.0,,בניין שלם,מעורב
23,634,סירקין,36,,,,empty upper floor,,
24,634,סירקין,38,,,,empty appartment,,
25,634,עקרון,15,,,,"הבניין נבנה בשנת 1933 ע""י שאהין מוחיי אלדין בתכנונו של האדריכל חיים הרי המפורסם.",,
27,634,עקרון,3,,,,,,
28,631,פבזנר,64,2020.0,11.0,24.0,,בניין שלם,מגורים
29,632,ציפורי,7,,,,"סמטת ציפורי 7, הדר.
הבית נבנה בשנת 1939 ע""י שמואל סמלר ותוכנן ע""י האדריכל דב ישראלי. לא ידועים פרטים נוספים.",,
30,633,שמריהו לוין,1,2020.0,10.0,12.0,,בניין שלם,מסחרי
31,633,שמריהו לוין,2,,,,,,
32,633,שמריהו לוין,5,2020.0,11.0,16.0,,חנות,מסחרי
33,634,שפירא,1,,,,,,
34,634,שפירא,8,2020.0,10.0,12.0,,בניין שלם,מגורים
36,613,טבריה,10,,,,"בית רחב ידיים העומד נטוש ממש מתחת לרח' מסדה התוסס ויושב על מגרש בשטח של 600 מ""ר.

אין מידע רב על המבנה. הוא הוקם בתחילת המאה והיה מאוכלס עד שנת 2001",,
38,613,טבריה,10,,,,"בית רחב ידיים העומד נטוש ממש מתחת לרח' מסדה התוסס ויושב על מגרש בשטח של 600 מ""ר.

אין מידע רב על המבנה. הוא הוקם בתחילת המאה והיה מאוכלס עד שנת 2001",,
39,621,הלל,49,2020.0,11.0,18.0,,חנות,מסחרי
42,631,פבזנר,34,,11.0,,,,מגורים
43,631,פבזנר,34,2020.0,,24.0,,,מגורים
44,632,בן יהודה,20,,11.0,28.0,"ידוע הרבה על המבנה פרט לבעלים המקורים - פרידי נז'אב.
ב-2002 הוא הוכרז כמבנה מסוכן",,
46,633,החלוץ,24,2020.0,,16.0,,קומה,משרדים
47,633,חסן שוקרי,10,,,16.0,,קומה,
48,633,הרצל,10,2020.0,11.0,16.0,,קומה,
49,634,עקרון,3,2020.0,,12.0,,בניין שלם,
