StatZone,Year,TotCrimCrime,TotBusiBurg,TotApartBurg,CarTheft,TotPropCrime,Thefts,BodyAssaults,SexualAssaults,Robbery
611,2012.0,53.0,0.0,15.0,4.0,84.0,8.0,15.0,0.0,2.0
612,2012.0,25.0,1.0,10.0,2.0,69.0,17.0,24.0,1.0,2.0
613,2012.0,43.0,1.0,32.0,4.0,103.0,26.0,36.0,3.0,1.0
621,2012.0,50.0,0.0,34.0,7.0,131.0,48.0,30.0,4.0,1.0
622,2012.0,9.0,0.0,4.0,3.0,21.0,8.0,5.0,0.0,0.0
623,2012.0,43.0,1.0,32.0,4.0,88.0,21.0,30.0,1.0,2.0
631,2012.0,49.0,9.0,19.0,10.0,129.0,42.0,45.0,6.0,2.0
632,2012.0,38.0,7.0,14.0,5.0,156.0,68.0,59.0,3.0,8.0
633,2012.0,52.0,23.0,6.0,7.0,399.0,213.0,77.0,7.0,17.0
634,2012.0,52.0,25.0,13.0,2.0,417.0,207.0,97.0,8.0,20.0
641,2012.0,42.0,7.0,23.0,7.0,198.0,96.0,71.0,9.0,7.0
642,2012.0,31.0,8.0,17.0,4.0,80.0,29.0,27.0,0.0,0.0
643,2012.0,11.0,1.0,7.0,1.0,27.0,8.0,4.0,0.0,1.0
644,2012.0,52.0,0.0,32.0,3.0,69.0,8.0,4.0,0.0,1.0
