CrimeType,CrimeLocType,StatZone,Month
עבירות כלפי המוסר,רכב מנועי אחר,611,5.0
עבירות סדר ציבורי,רחוב,611,6.0
עבירות כלפי המוסר,רחוב,611,6.0
עבירות סדר ציבורי,רחוב,611,5.0
עבירות רשוי,רחוב,611,5.0
עבירות סדר ציבורי,רחוב,611,4.0
עבירות כלפי המוסר,רחוב,611,6.0
עבירות כלפי הרכוש,רחוב,611,5.0
עבירות כלפי המוסר,רחוב,611,4.0
עבירות כלפי המוסר,רחוב,611,6.0
עבירות כלפי הרכוש,רחוב,611,6.0
עבירות כלפי המוסר,רחוב,611,6.0
עבירות סדר ציבורי,רחוב,611,3.0
עבירות כלפי הרכוש,רחוב,611,6.0
עבירות סדר ציבורי,רחוב,611,6.0
עבירות כלפי הרכוש,רחוב,611,4.0
עבירות נגד גוף,מוסדות חנוך,611,3.0
עבירות כלפי הרכוש,מוסדות חנוך,611,3.0
עבירות נגד גוף,מוסדות חנוך,611,3.0
עבירות כלפי הרכוש,מוסדות חנוך,611,3.0
עבירות סדר ציבורי,מוסדות חנוך,611,3.0
עבירות סדר ציבורי,טלפון,611,5.0
עבירות סדר ציבורי,טלפון,611,2.0
עבירות סדר ציבורי,טלפון,611,6.0
עבירות סדר ציבורי,טלפון,611,6.0
עבירות סדר ציבורי,טלפון,611,2.0
עבירות סדר ציבורי,חצר בית,611,1.0
עבירות סדר ציבורי,חצר בית,611,5.0
עבירות סדר ציבורי,חצר בית,611,5.0
עבירות נגד גוף,חצר בית,611,4.0
עבירות כלפי המוסר,חניון,611,5.0
עבירות כלפי הרכוש,חניון,611,5.0
עבירות כלפי הרכוש,חניון,611,5.0
עבירות כלפי הרכוש,חניון,611,3.0
עבירות כלפי הרכוש,חניון,611,2.0
עבירות כלפי הרכוש,חניון,611,5.0
עבירות כלפי הרכוש,חניון,611,3.0
עבירות כלפי המוסר,חניון,611,6.0
עבירות כלפי הרכוש,חניון,611,3.0
עבירות כלפי הרכוש,חניון,611,2.0
עבירות כלפי הרכוש,חניה,611,5.0
עבירות כלפי הרכוש,חניה,611,3.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,6.0
עבירות כלפי הרכוש,חניה,611,6.0
עבירות כלפי המוסר,חניה,611,5.0
עבירות כלפי הרכוש,חניה,611,5.0
עבירות כלפי הרכוש,חניה,611,4.0
עבירות כלפי הרכוש,חניה,611,2.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות סדר ציבורי,חניה,611,6.0
עבירות כלפי הרכוש,חניה,611,6.0
עבירות כלפי הרכוש,חניה,611,4.0
עבירות כלפי הרכוש,חניה,611,3.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,6.0
עבירות כלפי הרכוש,חניה,611,6.0
עבירות כלפי הרכוש,חניה,611,4.0
עבירות כלפי הרכוש,חניה,611,3.0
עבירות נגד גוף,חניה,611,2.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות סדר ציבורי,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות כלפי הרכוש,חניה,611,1.0
עבירות בטחון,בית מגורים אחר,611,4.0
עבירות כלפי המוסר,בית מגורים אחר,611,4.0
עבירות סדר ציבורי,בית הקרבן,611,6.0
עבירות כלפי הרכוש,בית הקרבן,611,6.0
עבירות סדר ציבורי,בית הקרבן,611,5.0
עבירות כלפי הרכוש,בית הקרבן,611,5.0
עבירות כלפי הרכוש,בית הקרבן,611,5.0
עבירות סדר ציבורי,בית הקרבן,611,5.0
עבירות כלפי הרכוש,בית הקרבן,611,4.0
עבירות כלפי הרכוש,בית הקרבן,611,5.0
עבירות סדר ציבורי,בית הקרבן,611,4.0
עבירות סדר ציבורי,בית הקרבן,611,2.0
עבירות כלפי הרכוש,בית הקרבן,611,6.0
עבירות כלפי הרכוש,בית הקרבן,611,6.0
עבירות כלפי הרכוש,בית הקרבן,611,6.0
עבירות סדר ציבורי,בית הקרבן,611,5.0
עבירות כלפי הרכוש,בית הקרבן,611,5.0
עבירות כלפי הרכוש,בית הקרבן,611,4.0
עבירות נגד גוף,בית הקרבן,611,3.0
עבירות כלפי הרכוש,בית הקרבן,611,2.0
עבירות סדר ציבורי,בית הקרבן,611,2.0
עבירות מרמה,בית הקרבן,611,1.0
עבירות כלפי המוסר,בית הקרבן,611,5.0
עבירות סדר ציבורי,בית הקרבן,611,5.0
עבירות סדר ציבורי,בית הקרבן,611,4.0
עבירות כלפי הרכוש,בית הקרבן,611,2.0
עבירות כלפי הרכוש,בית הקרבן,611,2.0
עבירות בטחון,בית הקרבן,611,2.0
עבירות כלפי הרכוש,בית הקרבן,611,2.0
עבירות סדר ציבורי,בית הקרבן,611,2.0
עבירות נגד גוף,בית הקרבן,611,2.0
עבירות כלפי הרכוש,בית הקרבן,611,1.0
עבירות כלפי הרכוש,בית הקרבן,611,1.0
עבירות נגד גוף,בית המבצע,611,5.0
עבירות כלפי המוסר,בית המבצע,611,1.0
עבירות סדר ציבורי,בית המבצע,611,1.0
עבירות סדר ציבורי,בית המבצע,611,4.0
