,StatZone,Street,HouseNum,Year,Month,Day,CrimeType,CrimeLocType
1312,611,דמה,דמה,2012.0,12.0,13.0,עבירות נגד גוף,רחוב             
1326,611,דמה,דמה,2012.0,10.0,5.0,עבירות כלפי הרכוש,רחוב             
1359,611,דמה,דמה,2012.0,11.0,8.0,עבירות כלפי הרכוש,רחוב             
1365,611,דמה,דמה,2012.0,10.0,5.0,עבירות כלפי הרכוש,רחוב             
1366,611,דמה,דמה,2012.0,10.0,5.0,עבירות רשוי,רחוב             
1388,611,דמה,דמה,2012.0,12.0,7.0,עבירות כלפי הרכוש,רחוב             
1398,611,דמה,דמה,2012.0,10.0,5.0,עבירות כלפי הרכוש,רחוב             
1399,611,דמה,דמה,2012.0,9.0,16.0,עבירות כלפי הרכוש,רחוב             
1400,611,דמה,דמה,2012.0,9.0,14.0,עבירות כלפי המוסר,רחוב             
1404,611,דמה,דמה,2012.0,8.0,29.0,עבירות נגד גוף,רחוב             
1409,611,דמה,דמה,2012.0,8.0,2.0,עבירות כלפי הרכוש,רחוב             
1411,611,דמה,דמה,2012.0,7.0,24.0,עבירות כלפי המוסר,רחוב             
1425,611,דמה,דמה,2012.0,12.0,23.0,עבירות כלפי הרכוש,רחוב             
1438,611,דמה,דמה,2012.0,9.0,18.0,עבירות נגד גוף,רחוב             
1504,611,דמה,דמה,2012.0,8.0,7.0,עבירות סדר ציבורי,טלפון            
1506,611,דמה,דמה,2012.0,10.0,1.0,עבירות כלפי הרכוש,חצר בית          
1508,611,דמה,דמה,2012.0,9.0,17.0,עבירות כלפי הרכוש,חצר בית          
1511,611,דמה,דמה,2012.0,7.0,21.0,עבירות סדר ציבורי,חצר בית          
1527,611,דמה,דמה,2012.0,7.0,21.0,עבירות נגד גוף,חצר בית          
1534,611,דמה,דמה,2012.0,10.0,23.0,עבירות סדר ציבורי,חצר בית          
1536,611,דמה,דמה,2012.0,10.0,13.0,עבירות סדר ציבורי,חצר בית          
1540,611,דמה,דמה,2012.0,7.0,30.0,עבירות סדר ציבורי,חצר בית          
1555,611,דמה,דמה,2012.0,11.0,4.0,עבירות כלפי הרכוש,חניון            
1557,611,דמה,דמה,2012.0,10.0,29.0,עבירות כלפי הרכוש,חניון            
1561,611,דמה,דמה,2012.0,10.0,29.0,עבירות כלפי הרכוש,חניון            
1585,611,דמה,דמה,2012.0,10.0,1.0,עבירות כלפי הרכוש,חניה             
1587,611,דמה,דמה,2012.0,9.0,7.0,עבירות כלפי הרכוש,חניה             
1606,611,דמה,דמה,2012.0,12.0,6.0,עבירות כלפי הרכוש,חניה             
1609,611,דמה,דמה,2012.0,11.0,22.0,עבירות כלפי הרכוש,חניה             
1615,611,דמה,דמה,2012.0,9.0,7.0,שאר עבירות,חניה             
1637,611,דמה,דמה,2012.0,12.0,15.0,עבירות כלפי הרכוש,חניה             
1638,611,דמה,דמה,2012.0,12.0,15.0,עבירות כלפי הרכוש,חניה             
1639,611,דמה,דמה,2012.0,12.0,15.0,עבירות כלפי הרכוש,חניה             
1640,611,דמה,דמה,2012.0,12.0,11.0,עבירות כלפי הרכוש,חניה             
1641,611,דמה,דמה,2012.0,11.0,22.0,עבירות סדר ציבורי,חניה             
1651,611,דמה,דמה,2012.0,7.0,31.0,עבירות סדר ציבורי,חניה             
1667,611,דמה,דמה,2012.0,12.0,11.0,עבירות כלפי הרכוש,חניה             
1668,611,דמה,דמה,2012.0,12.0,1.0,עבירות כלפי הרכוש,חניה             
1674,611,דמה,דמה,2012.0,9.0,7.0,עבירות כלפי הרכוש,חניה             
1704,611,דמה,דמה,2012.0,12.0,25.0,עבירות נגד גוף,חנויות אחרות     
1707,611,דמה,דמה,2012.0,12.0,25.0,עבירות נגד גוף,חנויות אחרות     
1712,611,דמה,דמה,2012.0,10.0,12.0,עבירות כלפי הרכוש,"חדר מדרגות,מעליות"
1723,611,דמה,דמה,2012.0,12.0,30.0,עבירות כלפי הרכוש,"חדר מדרגות,מעליות"
1749,611,דמה,דמה,2012.0,12.0,29.0,עבירות סדר ציבורי,בית מגורים אחר   
1754,611,דמה,דמה,2012.0,8.0,10.0,עבירות סדר ציבורי,בית מגורים אחר   
1755,611,דמה,דמה,2012.0,7.0,26.0,עבירות בטחון,בית מגורים אחר   
1760,611,דמה,דמה,2012.0,12.0,29.0,עבירות סדר ציבורי,בית מגורים אחר   
1762,611,דמה,דמה,2012.0,8.0,10.0,עבירות נגד גוף,בית מגורים אחר   
1763,611,דמה,דמה,2012.0,8.0,10.0,עבירות כלפי הרכוש,בית מגורים אחר   
1770,611,דמה,דמה,2012.0,12.0,29.0,עבירות נגד גוף,בית מגורים אחר   
1776,611,דמה,דמה,2012.0,7.0,26.0,עבירות סדר ציבורי,בית מגורים אחר   
1785,611,דמה,דמה,2012.0,11.0,19.0,עבירות סדר ציבורי,בית הקרבן        
1795,611,דמה,דמה,2012.0,9.0,13.0,עבירות סדר ציבורי,בית הקרבן        
1799,611,דמה,דמה,2012.0,9.0,1.0,עבירות סדר ציבורי,בית הקרבן        
1800,611,דמה,דמה,2012.0,9.0,1.0,עבירות נגד גוף,בית הקרבן        
1857,611,דמה,דמה,2012.0,12.0,22.0,עבירות סדר ציבורי,בית הקרבן        
1858,611,דמה,דמה,2012.0,8.0,15.0,עבירות כלפי הרכוש,בית הקרבן        
1865,611,דמה,דמה,2012.0,10.0,11.0,עבירות סדר ציבורי,בית הקרבן        
1867,611,דמה,דמה,2012.0,9.0,28.0,עבירות כלפי הרכוש,בית הקרבן        
1869,611,דמה,דמה,2012.0,9.0,7.0,עבירות נגד גוף,בית הקרבן        
1871,611,דמה,דמה,2012.0,8.0,26.0,עבירות כלפי הרכוש,בית הקרבן        
1873,611,דמה,דמה,2012.0,7.0,30.0,עבירות כלפי הרכוש,בית הקרבן        
1911,611,דמה,דמה,2012.0,11.0,25.0,עבירות סדר ציבורי,בית הקרבן        
1914,611,דמה,דמה,2012.0,11.0,26.0,עבירות כלפי הרכוש,בית הקרבן        
1915,611,דמה,דמה,2012.0,11.0,26.0,עבירות כלפי הרכוש,בית הקרבן        
1916,611,דמה,דמה,2012.0,11.0,26.0,עבירות כלפי הרכוש,בית הקרבן        
1917,611,דמה,דמה,2012.0,11.0,26.0,עבירות כלפי הרכוש,בית הקרבן        
1925,611,דמה,דמה,2012.0,9.0,25.0,עבירות כלפי הרכוש,בית הקרבן        
1935,611,דמה,דמה,2012.0,8.0,28.0,עבירות כלפי הרכוש,בית הקרבן        
1988,611,דמה,דמה,2012.0,10.0,21.0,עבירות סדר ציבורי,בית הקרבן        
1994,611,דמה,דמה,2012.0,9.0,22.0,עבירות סדר ציבורי,בית הקרבן        
1998,611,דמה,דמה,2012.0,9.0,7.0,עבירות סדר ציבורי,בית הקרבן        
2064,611,דמה,דמה,2012.0,9.0,3.0,עבירות סדר ציבורי,בית המבצע        
2065,611,דמה,דמה,2012.0,9.0,3.0,עבירות כלפי המוסר,בית המבצע        
2071,611,דמה,דמה,2012.0,9.0,7.0,עבירות נגד גוף,בית המבצע        
2077,611,דמה,דמה,2012.0,9.0,8.0,עבירות סדר ציבורי,בית המבצע        
2080,611,דמה,דמה,2012.0,9.0,5.0,עבירות כלפי הרכוש,בית המבצע        
2100,611,דמה,דמה,2012.0,9.0,5.0,עבירות סדר ציבורי,בית המבצע        
2101,611,דמה,דמה,2012.0,9.0,5.0,עבירות נגד גוף,בית המבצע        
2121,611,דמה,דמה,2012.0,11.0,2.0,עבירות נגד גוף,בית-ספר יסודי    
2122,611,דמה,דמה,2012.0,9.0,25.0,עבירות סדר ציבורי,בית-ספר יסודי    
2132,611,דמה,דמה,2012.0,11.0,2.0,עבירות נגד גוף,בית-ספר יסודי    
2150,611,דמה,דמה,2012.0,11.0,26.0,עבירות סדר ציבורי,"בי""ס תיכון כללי  "
2206,612,דמה,דמה,2012.0,7.0,13.0,עבירות כלפי הרכוש,רכב פרטי         
2222,612,דמה,דמה,2012.0,11.0,8.0,עבירות סדר ציבורי,רחוב             
2227,612,דמה,דמה,2012.0,9.0,17.0,עבירות נגד גוף,רחוב             
2228,612,דמה,דמה,2012.0,10.0,13.0,עבירות סדר ציבורי,רחוב             
2232,612,דמה,דמה,2012.0,9.0,24.0,עבירות כלפי הרכוש,רחוב             
2233,612,דמה,דמה,2012.0,9.0,9.0,עבירות כלפי המוסר,רחוב             
2239,612,דמה,דמה,2012.0,8.0,8.0,עבירות כלפי הרכוש,רחוב             
2243,612,דמה,דמה,2012.0,8.0,2.0,עבירות סדר ציבורי,רחוב             
2244,612,דמה,דמה,2012.0,8.0,2.0,עבירות כלפי הרכוש,רחוב             
2262,612,דמה,דמה,2012.0,11.0,18.0,עבירות בטחון,רחוב             
2263,612,דמה,דמה,2012.0,11.0,9.0,עבירות כלפי הרכוש,רחוב             
2268,612,דמה,דמה,2012.0,9.0,17.0,עבירות סדר ציבורי,רחוב             
2269,612,דמה,דמה,2012.0,10.0,13.0,עבירות נגד גוף,רחוב             
2272,612,דמה,דמה,2012.0,9.0,16.0,עבירות כלפי המוסר,רחוב             
2273,612,דמה,דמה,2012.0,9.0,12.0,עבירות כלפי הרכוש,רחוב             
2274,612,דמה,דמה,2012.0,8.0,13.0,עבירות סדר ציבורי,רחוב             
2275,612,דמה,דמה,2012.0,9.0,6.0,עבירות כלפי הרכוש,רחוב             
2278,612,דמה,דמה,2012.0,8.0,30.0,עבירות כלפי הרכוש,רחוב             
2282,612,דמה,דמה,2012.0,8.0,2.0,עבירות סדר ציבורי,רחוב             
2321,612,דמה,דמה,2012.0,9.0,17.0,עבירות סדר ציבורי,רחוב             
2322,612,דמה,דמה,2012.0,10.0,13.0,עבירות סדר ציבורי,רחוב             
2323,612,דמה,דמה,2012.0,10.0,13.0,עבירות נגד גוף,רחוב             
2325,612,דמה,דמה,2012.0,9.0,28.0,עבירות כלפי המוסר,רחוב             
2366,612,דמה,דמה,2012.0,10.0,3.0,עבירות כלפי הרכוש,רחוב             
2367,612,דמה,דמה,2012.0,9.0,12.0,עבירות נגד גוף,רחוב             
2368,612,דמה,דמה,2012.0,9.0,12.0,עבירות נגד גוף,רחוב             
2369,612,דמה,דמה,2012.0,9.0,6.0,עבירות כלפי הרכוש,רחוב             
2372,612,דמה,דמה,2012.0,8.0,21.0,עבירות כלפי הרכוש,רחוב             
2375,612,דמה,דמה,2012.0,8.0,2.0,עבירות כלפי הרכוש,רחוב             
2432,612,דמה,דמה,2012.0,12.0,29.0,עבירות בטחון,מחסן-מקלט        
2440,612,דמה,דמה,2012.0,9.0,28.0,עבירות סדר ציבורי,מוסד חנוך אחר    
2441,612,דמה,דמה,2012.0,9.0,28.0,עבירות סדר ציבורי,מוסד חנוך אחר    
2442,612,דמה,דמה,2012.0,9.0,28.0,עבירות סדר ציבורי,מוסד חנוך אחר    
2443,612,דמה,דמה,2012.0,9.0,28.0,עבירות נגד גוף,מוסד חנוך אחר    
2457,612,דמה,דמה,2012.0,8.0,10.0,עבירות סדר ציבורי,טלפון            
2478,612,דמה,דמה,2012.0,7.0,22.0,עבירות סדר ציבורי,חצר בית          
2479,612,דמה,דמה,2012.0,7.0,22.0,עבירות כלפי הרכוש,חצר בית          
2496,612,דמה,דמה,2012.0,7.0,22.0,עבירות נגד גוף,חצר בית          
2508,612,דמה,דמה,2012.0,11.0,30.0,עבירות כלפי הרכוש,חניה             
2514,612,דמה,דמה,2012.0,9.0,13.0,עבירות כלפי הרכוש,חניה             
2531,612,דמה,דמה,2012.0,12.0,10.0,עבירות כלפי הרכוש,חניה             
2532,612,דמה,דמה,2012.0,11.0,30.0,עבירות כלפי הרכוש,חניה             
2537,612,דמה,דמה,2012.0,10.0,29.0,עבירות כלפי הרכוש,חניה             
2559,612,דמה,דמה,2012.0,12.0,10.0,עבירות כלפי הרכוש,חניה             
2564,612,דמה,דמה,2012.0,10.0,13.0,עבירות כלפי הרכוש,חניה             
2565,612,דמה,דמה,2012.0,10.0,10.0,עבירות כלפי הרכוש,חניה             
2566,612,דמה,דמה,2012.0,9.0,23.0,עבירות כלפי הרכוש,חניה             
2567,612,דמה,דמה,2012.0,10.0,6.0,עבירות כלפי הרכוש,חניה             
2581,612,דמה,דמה,2012.0,11.0,10.0,עבירות כלפי הרכוש,חניה             
2585,612,דמה,דמה,2012.0,10.0,15.0,עבירות כלפי הרכוש,חניה             
2587,612,דמה,דמה,2012.0,8.0,27.0,עבירות כלפי הרכוש,חניה             
2588,612,דמה,דמה,2012.0,8.0,27.0,עבירות כלפי הרכוש,חניה             
2591,612,דמה,דמה,2012.0,8.0,14.0,עבירות כלפי הרכוש,חניה             
2615,612,דמה,דמה,2012.0,8.0,12.0,עבירות כלפי הרכוש,חנויות אחרות     
2618,612,דמה,דמה,2012.0,7.0,24.0,עבירות כלפי הרכוש,חוף רחצה         
2620,612,דמה,דמה,2012.0,9.0,18.0,עבירות נגד גוף,"חדר מדרגות,מעליות"
2621,612,דמה,דמה,2012.0,9.0,18.0,עבירות כלפי הרכוש,"חדר מדרגות,מעליות"
2625,612,דמה,דמה,2012.0,10.0,28.0,עבירות סדר ציבורי,"חדר מדרגות,מעליות"
2626,612,דמה,דמה,2012.0,10.0,12.0,עבירות נגד גוף,"חדר מדרגות,מעליות"
2630,612,דמה,דמה,2012.0,10.0,22.0,עבירות סדר ציבורי,"חדר מדרגות,מעליות"
2656,612,דמה,דמה,2012.0,11.0,19.0,עבירות כלפי המוסר,בית מגורים אחר   
2695,612,דמה,דמה,2012.0,10.0,14.0,עבירות כלפי הרכוש,בית הקרבן        
2697,612,דמה,דמה,2012.0,10.0,15.0,עבירות כלפי הרכוש,בית הקרבן        
2698,612,דמה,דמה,2012.0,10.0,9.0,עבירות סדר ציבורי,בית הקרבן        
2699,612,דמה,דמה,2012.0,10.0,7.0,עבירות סדר ציבורי,בית הקרבן        
2700,612,דמה,דמה,2012.0,10.0,7.0,עבירות כלפי הרכוש,בית הקרבן        
2712,612,דמה,דמה,2012.0,11.0,1.0,עבירות מרמה,בית הקרבן        
2727,612,דמה,דמה,2012.0,11.0,1.0,עבירות סדר ציבורי,בית הקרבן        
2756,612,דמה,דמה,2012.0,12.0,23.0,עבירות סדר ציבורי,בית הקרבן        
2758,612,דמה,דמה,2012.0,12.0,14.0,עבירות כלפי הרכוש,בית הקרבן        
2759,612,דמה,דמה,2012.0,12.0,14.0,עבירות כלפי הרכוש,בית הקרבן        
2771,612,דמה,דמה,2012.0,10.0,20.0,עבירות כלפי הרכוש,בית הקרבן        
2785,612,דמה,דמה,2012.0,8.0,7.0,עבירות כלפי הרכוש,בית הקרבן        
2792,612,דמה,דמה,2012.0,7.0,14.0,עבירות סדר ציבורי,בית הקרבן        
2793,612,דמה,דמה,2012.0,7.0,14.0,עבירות סדר ציבורי,בית הקרבן        
2795,612,דמה,דמה,2012.0,7.0,10.0,עבירות סדר ציבורי,בית הקרבן        
2822,612,דמה,דמה,2012.0,9.0,1.0,עבירות סדר ציבורי,בית הקרבן        
2848,612,דמה,דמה,2012.0,10.0,7.0,עבירות סדר ציבורי,בית הקרבן        
2869,612,דמה,דמה,2012.0,7.0,6.0,עבירות סדר ציבורי,בית הקרבן        
2907,612,דמה,דמה,2012.0,12.0,17.0,עבירות כלפי הרכוש,בית הקרבן        
2920,612,דמה,דמה,2012.0,10.0,14.0,שאר עבירות,בית הקרבן        
