StatZone,TotHaredim,TotNonHaredim,Total,PropoHaredim
621,99.0,2389.0,2488.0,0.039790996784565914
622,1127.0,1510.0,2637.0,0.4273795980280622
623,976.0,2239.0,3215.0,0.30357698289269053
631,1170.0,2180.0,3350.0,0.3492537313432836
634,99.0,1061.0,1160.0,0.0853448275862069
641,1455.0,1288.0,2743.0,0.5304411228581845
642,3784.0,818.0,4602.0,0.8222511951325511
643,2224.0,132.0,2356.0,0.9439728353140917
644,216.0,289.0,505.0,0.4277227722772277
611,1001.0,903.0,1904.0,0.5257352941176471
612,919.0,1040.0,1959.0,0.46911689637570186
613,800.0,1041.0,1841.0,0.4345464421510049
632,591.0,920.0,1511.0,0.39113170086035737
633,664.0,596.0,1260.0,0.526984126984127
