StatZone,HoloSurvKnwn,HoloSurvNdDesc
632,מוכר,זקן סיעודי
632,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,בעיות הנובעות מזיקנה
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
621,מוכר,בעיות הנובעות מזיקנה
621,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
621,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
622,מוכר,זקן סיעודי
622,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
622,מוכר,בעיות הנובעות מזיקנה
621,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
621,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
621,מוכר,בעיות בתקשורת בקליטה (עלייה)
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
642,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
642,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
613,מוכר,בעיות הנובעות מזיקנה
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
613,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
613,מוכר,בעיות הנובעות מזיקנה
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
622,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
641,מוכר,ניהול לקוי של משק הבית
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
642,מוכר,בעיות הנובעות מזיקנה
642,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
632,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
621,מוכר,זקן סיעודי
621,מוכר,
644,מוכר,זקן סיעודי
644,מוכר,זקן סיעודי
644,מוכר,בעיות הנובעות מזיקנה
644,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
621,מוכר,בעיות הנובעות מזיקנה
613,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
621,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
621,מוכר,זקן סיעודי
621,מוכר,
613,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,בעיות הנובעות מזיקנה
643,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
622,מוכר,בעיות הנובעות מזיקנה
621,מוכר,זקן סיעודי
621,מוכר,
621,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
613,מוכר,בעיות הנובעות מזיקנה
613,מוכר,בעיות הנובעות מזיקנה
