,StatZone,Street,HouseNum,Year,Month,Day,HostelName,HostelType
0,633,אבן סינא,3,2021.0,3.0,,מרכז יום לאנשים עם התמכרויות,תקון
1,612,בית שערים,8,2021.0,3.0,,שמע,חינוך / שיקום
4,621,בר גיורא,3,2021.0,3.0,,קידום - נוף הדרים,הוסטל
5,621,ברכה חבס,14,2021.0,3.0,,קהילה תומכת - שילה,שיקום
6,634,דבורה,2,2021.0,3.0,,אנוש מועדון חברתי,מועדון חברתי / תעסוקה
7,634,דבורה,2,2021.0,3.0,,יחידה להתמכרויות מבוגרים דרי רחוב שיקום האסיר,תקון
8,634,דבורה,4,2021.0,3.0,,יחידה להתמכרויות נוער וצעירים,תקון
9,612,הירוק,18,2021.0,3.0,,מרכז לנערות בסיכון חברה ערבית - אורות,תקון
10,633,הנביאים,10,2021.0,3.0,,כוכב הצפון - עתיד חדש,הוסטל
11,622,הפועל,16,2021.0,3.0,,ענבלים,הוסטל צעירים
12,632,הרצליה,16,2021.0,3.0,,"מרחב הל""ב",תקון
13,632,הרצליה,20,2021.0,3.0,,בית הדר - שלטר לדרי רחוב,תקון
14,632,הרצליה,24,2021.0,3.0,,שלטר לצעירים,תקון
15,641,"יל""ג",7,2021.0,3.0,,מרכז לטיפול ולמניעת אלימות במשפחה,משפחה
16,631,ירושלים,24,2021.0,3.0,,עתיד חדש כוללני + מתוגבר,הוסטל
17,633,כורי,2,2021.0,3.0,,בית אקשטיין - שרותי השמה,אוטיזם
19,632,לבונטין,19,2021.0,3.0,,דירת אקים,דירה בקהילה
20,621,מונטיפיורי,15,2021.0,3.0,,בית שבתי לוי,פנימיה / מרכז חרום
21,622,מונטיפיורי,19,2021.0,3.0,,מרכז הדת. הילד בני ציון,מעון יום לקשישים
22,642,מיכאל,20,2021.0,3.0,,ישיבת חסידי גור,
23,613,מסדה,26,2021.0,3.0,,אג'למען שרותי בריאות,קהילה טיפולית
25,631,נורדאו,32,2021.0,3.0,,עתיד חדש דיור מוגן - בית קבוצתי,בית קבוצתי
27,641,"יל""ג",7,2021.0,3.0,,מרכז לטיפול ולמניעת אלימות במשפחה,משפחה
28,642,מיכאל,20,2021.0,3.0,,ישיבת חסידי גור,
30,632,הרצליה,19,2021.0,3.0,,שלטר לצעירים,תקון
31,632,הרצליה,19,2021.0,3.0,,שלטר לצעירים,דירה בקהילה
32,633,כורי,2,2021.0,3.0,,מפעל מוגן- שווים,הוסטל
33,633,אבן סינא,3,2021.0,3.0,,מרכז הורים ילידים גיל הרך - חברה ערבית,אוטיזם
34,634,דבורה,2,2021.0,3.0,,יחידה להתמכרויות נוער וצעירים,תקון
35,634,דבורה,4,2021.0,3.0,,יחידה להתמכרויות נוער וצעירים,תקון
