StatZone,SeniorAlone,SeniorRecivFood
632,0.0,0.0
632,1.0,0.0
632,1.0,0.0
632,0.0,0.0
632,0.0,0.0
632,1.0,0.0
632,0.0,0.0
632,1.0,1.0
632,0.0,0.0
632,1.0,1.0
632,0.0,0.0
632,1.0,0.0
621,0.0,0.0
621,1.0,0.0
622,1.0,0.0
622,1.0,1.0
631,0.0,0.0
631,0.0,0.0
631,1.0,0.0
631,1.0,1.0
622,0.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,1.0
621,0.0,0.0
621,0.0,0.0
642,1.0,1.0
631,1.0,1.0
631,1.0,0.0
631,1.0,0.0
631,1.0,0.0
631,1.0,0.0
641,1.0,0.0
641,1.0,0.0
641,1.0,0.0
641,0.0,0.0
641,0.0,0.0
641,1.0,0.0
641,1.0,0.0
641,1.0,0.0
642,1.0,1.0
631,0.0,1.0
631,1.0,1.0
631,1.0,0.0
631,1.0,0.0
631,1.0,0.0
632,1.0,1.0
613,1.0,0.0
613,0.0,0.0
613,1.0,0.0
613,0.0,0.0
613,0.0,0.0
613,1.0,1.0
613,1.0,0.0
613,1.0,0.0
632,1.0,0.0
632,1.0,0.0
642,0.0,0.0
642,1.0,0.0
642,1.0,0.0
622,1.0,0.0
621,0.0,0.0
622,1.0,1.0
622,1.0,0.0
621,0.0,0.0
621,1.0,0.0
622,1.0,0.0
622,0.0,1.0
621,1.0,0.0
641,1.0,0.0
641,0.0,0.0
641,1.0,0.0
641,0.0,0.0
641,1.0,0.0
641,1.0,1.0
641,1.0,0.0
641,1.0,0.0
641,0.0,0.0
641,1.0,0.0
641,1.0,0.0
641,1.0,0.0
641,1.0,1.0
641,0.0,0.0
641,1.0,0.0
641,0.0,0.0
622,1.0,1.0
642,1.0,0.0
642,1.0,0.0
622,0.0,0.0
642,0.0,1.0
621,1.0,0.0
621,1.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,1.0
621,1.0,1.0
621,1.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,1.0
621,0.0,1.0
621,1.0,1.0
621,1.0,1.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,1.0
621,1.0,1.0
621,0.0,0.0
621,0.0,1.0
621,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,1.0
621,0.0,0.0
621,1.0,0.0
621,1.0,1.0
621,1.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,0.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,1.0
621,1.0,1.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,1.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,1.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,1.0
621,0.0,1.0
621,0.0,1.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,1.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,1.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
634,1.0,0.0
633,1.0,0.0
611,0.0,0.0
612,1.0,0.0
611,0.0,0.0
612,1.0,0.0
634,1.0,0.0
633,1.0,1.0
634,0.0,0.0
634,0.0,0.0
634,1.0,0.0
634,0.0,0.0
634,1.0,0.0
634,1.0,0.0
634,1.0,0.0
634,1.0,0.0
634,0.0,0.0
633,1.0,0.0
613,0.0,0.0
621,1.0,0.0
613,1.0,0.0
621,0.0,0.0
621,0.0,0.0
613,1.0,1.0
621,0.0,0.0
621,1.0,0.0
621,0.0,0.0
621,1.0,0.0
613,0.0,1.0
613,0.0,0.0
621,1.0,1.0
621,0.0,0.0
621,0.0,0.0
613,1.0,1.0
613,1.0,0.0
621,0.0,1.0
621,1.0,0.0
613,1.0,0.0
621,0.0,0.0
632,1.0,0.0
632,1.0,1.0
632,1.0,0.0
633,1.0,0.0
621,1.0,0.0
621,1.0,0.0
621,0.0,0.0
621,0.0,0.0
621,0.0,0.0
621,1.0,0.0
632,0.0,0.0
632,1.0,0.0
612,0.0,0.0
612,1.0,0.0
612,1.0,0.0
612,1.0,1.0
